"","cluster.index","keep_test","3DMM","3DMM-Blank","Urbanization-Blank","Urbanization-City","Urbanization-Jungle","Urbanization-Rural","Urbanization-Town"
"19146",583160,FALSE,1254489,0,0,0,0,0,0
"19147",583202,FALSE,701682,0,0,0,0,0,0
"19148",583245,FALSE,882652,0,0,0,0,0,0
"19149",583257,FALSE,1720948,0,0,0,0,0,0
"19150",583268,FALSE,1289984,0,0,0,0,0,0
"19151",583271,FALSE,2418580,0,0,0,0,0,0
"19152",583782,FALSE,72720830,0,0,0,0,0,0
"19153",583791,FALSE,2222468.3,208240,0,0,0,0,0
"19154",583795,FALSE,23139157,0,0,0,0,0,0
"19155",583797,TRUE,0,0,0,20168,55624,98504,128952
"19156",583809,FALSE,0,0,0,9564,0,4684,0
"19157",583821,FALSE,0,0,0,0,0,0,14032
"19158",583823,TRUE,0,0,0,10284,46772,62184,69384
"19159",583851,FALSE,0,0,0,0,3720,7896,0
"19160",583896,FALSE,0,0,0,0,3868,0,2944
"19161",583935,FALSE,0,0,0,0,4620,0,8184
"19162",583979,TRUE,0,0,0,0,19284,32484,7668
"19163",583981,FALSE,0,0,0,0,0,0,7988
"19164",584013,TRUE,0,0,0,17868,8060,21820,7420
"19165",584130,FALSE,0,0,0,0,6288,5988,0
"19166",584131,TRUE,0,0,0,7356,23112,13192,24680
"19167",584355,FALSE,0,0,0,0,171928,127808,101884
"19168",584560,FALSE,0,0,0,0,3796,0,3476
"19169",584572,FALSE,0,0,0,600132,0,0,1276388
"19170",584717,FALSE,0,0,0,0,0,0,10220
"19171",584839,TRUE,205247,0,0,13604,0,0,0
"19172",584868,FALSE,0,0,0,4296,0,0,13532
"19173",584874,FALSE,0,0,0,0,0,0,13904
"19174",584885,FALSE,0,0,0,0,55384,59020,118248
"19175",585137,FALSE,0,0,0,0,15800,0,37236
"19176",585423,FALSE,0,0,0,17532,0,16388,38040
"19177",585516,FALSE,0,0,0,0,25920,43392,14160
"19178",585547,FALSE,0,0,0,24832,0,44356,0
"19179",585548,FALSE,0,0,0,0,19224,0,18228
"19180",585620,FALSE,829387429,3211482,0,0,0,0,0
"19181",585650,FALSE,0,0,0,0,0,60032,17644
"19182",585667,FALSE,0,0,0,0,43632,18468,0
"19183",585751,FALSE,0,0,0,0,17800,14560,40696
"19184",585762,FALSE,259479781,5833134,0,0,0,0,0
"19185",585763,FALSE,197536969,51856978,0,0,0,0,0
"19186",585992,FALSE,33033184,15369060,0,0,0,0,0
"19187",586017,FALSE,20988712,0,0,0,0,0,0
"19188",586044,FALSE,2441735,0,0,0,0,0,0
"19189",586293,FALSE,25747059,80054147,0,0,0,0,0
"19190",586370,FALSE,483319175,10156711,0,0,0,0,0
"19191",586413,FALSE,26055030,0,0,0,0,0,0
"19192",586437,FALSE,8548925,0,0,0,0,0,0
"19193",586448,FALSE,0,0,0,31908,21856,42640,25848
"19194",586583,FALSE,2669980,0,0,0,0,0,0
"19195",586775,FALSE,182299068,0,0,0,0,0,0
"19196",586855,FALSE,257155164,7947187,0,0,0,0,0
"19197",587046,FALSE,11086940,1686380,0,0,0,0,0
"19198",587058,FALSE,4246720,0,0,0,0,0,0
"19199",587194,FALSE,11583380,0,0,0,0,0,0
"19200",587300,FALSE,45584974,5013849,0,212680,92012,198972,405080
"19201",587304,FALSE,0,0,0,0,15248,14732,0
"19202",587319,FALSE,0,0,0,11996,14800,21152,7392
"19203",587321,FALSE,0,0,0,0,15244,12728,0
"19204",587338,FALSE,0,0,0,22288,0,13040,0
